NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Brian Morgan,032-94-8008,Turkmen,Accommodation manager,1.56,112.1,50.33,WHEN HURRYING,222.0,ST.MARY'S
Wanda Olson,816-63-8432,Assamese,Scientific laboratory technician,1.53,86.41,26.03,STOPS WHEN WALKING AT PACE,4.78,BJC
Jennifer Contreras,411-45-2080,Bislama,TEFL teacher,1.73,117.15,58.98,STOPS AFTER A FEW MINUTES,62.18,BJC
Robert Ferguson,002-03-9802,Afrikaans,Engineer broadcasting (operations),1.74,107.69,75.27,WHEN HURRYING,308.29,ST.MARY'S
Savannah Webb,111-11-2454,Yoruba,Counselling psychologist,1.64,106.98,26.21,STOPS AFTER A FEW MINUTES,65.74,MISSOURI BAPTIST
Catherine Christian,427-34-7335,Occitan,Radiographer therapeutic,1.6,97.61,72.28,BREATHLESS WHEN DRESSING,152.69,ST.LUKE'S
Briana Reed,763-22-9239,Kongo,Airline pilot,1.55,98.62,36.55,STOPS AFTER 100 YARDS,334.06,BJC WEST COUNTY
Michael Garcia,428-78-5452,Chuvash,Proofreader,1.77,104.34,46.08,STOPS WHEN WALKING AT PACE,37.56,ST.LUKE'S
William Smith,768-35-7869,Serbian,Osteopath,1.67,92.17,59.84,SLOWER THAN PEERS,26.79,ST.LUKE'S
Christopher Houston,804-13-8280,Polish,Structural engineer,1.63,96.55,53.89,UNABLE TO LEAVE HOME,44.75,ST.MARY'S
Joanne Rivera,176-10-3201,Tonga,Technical brewer,1.57,96.51,96.94,STOPS AFTER A FEW MINUTES,298.35,BJC WEST COUNTY
Lisa Lopez,190-56-1002,Spanish,Lighting technician broadcasting/film/video,1.59,106.64,26.09,UNABLE TO LEAVE HOME,399.89,MISSOURI BAPTIST
Nancy Shelton,895-82-0181,Aragonese,Surveyor hydrographic,1.7,94.61,36.87,UNABLE TO LEAVE HOME,306.27,ST.LUKE'S
Caitlin Little,193-66-4490,Lingala,Pilot airline,1.75,86.64,91.4,STOPS AFTER 100 YARDS,184.72,ST.LUKE'S
Susan Watts,231-67-5539,Ndonga,Further education lecturer,1.53,82.11,60.63,WALKING UPHILL,323.74,BJC WEST COUNTY
Dana Wilson,428-25-3316,Tibetan,Environmental manager,1.56,97.4,55.23,STOPS AFTER 100 YARDS,342.59,ST.MARY'S
Thomas Lopez,061-90-6477,Lingala,Administrator Civil Service,1.63,90.82,41.88,SLOWER THAN PEERS,356.33,ST.LUKE'S
David Miles,313-36-2042,Akan,Location manager,1.56,107.94,37.62,BREATHLESS WHEN DRESSING,195.57,BJC
Derrick Henderson,015-48-4572,Divehi,Drilling engineer,1.7,107.11,29.44,SLOWER THAN PEERS,341.82,MISSOURI BAPTIST
Christine Smith,375-51-0355,Ojibwa,Metallurgist,1.58,84.07,48.84,STOPS WHEN WALKING AT PACE,380.65,SAINT LOUIS UNIVERSITY
Tara Ramsey,857-83-0094,Sotho Southern,Insurance broker,1.68,93.35,60.84,WHEN HURRYING,215.81,BJC WEST COUNTY
Barbara Cummings,220-32-5840,Komi,Counselling psychologist,1.59,96.33,41.71,STOPS AFTER A FEW MINUTES,115.93,ST.LUKE'S
Eric Kim,063-89-3793,Maltese,Acupuncturist,1.67,97.02,58.1,UNABLE TO LEAVE HOME,57.34,MISSOURI BAPTIST
Ashley Cruz,738-53-9756,Tonga,Engineering geologist,1.67,91.05,80.92,BREATHLESS WHEN DRESSING,34.88,BJC
Nicole Davis,524-59-5984,Gujarati,Warden/ranger,1.61,102.63,60.07,STOPS WHEN WALKING AT PACE,163.88,MISSOURI BAPTIST
Robert Marshall,774-59-0551,Turkish,Architectural technologist,1.74,113.78,70.57,WHEN HURRYING,266.31,ST.LUKE'S
Terri Phillips,192-14-7486,Inupiaq,Sub,1.52,112.91,53.51,STOPS AFTER A FEW MINUTES,128.35,ST.MARY'S
Bradley Zavala,654-93-7406,Dzongkha,Visual merchandiser,1.74,102.46,67.49,STOPS WHEN WALKING AT PACE,165.44,SAINT LOUIS UNIVERSITY
Erin Turner,667-68-1460,Serbian,Surveyor mining,1.74,85.86,85.2,STOPS AFTER 100 YARDS,318.8,ST.MARY'S
Jackie Lee,517-75-3689,Kuanyama,Designer multimedia,1.59,108.84,96.05,WALKING UPHILL,304.34,SAINT LOUIS UNIVERSITY
Joseph Burnett,051-85-4063,Interlingua,Scientist clinical (histocompatibility and immunogenetics),1.6,87.01,39.26,BREATHLESS WHEN DRESSING,16.76,SAINT LOUIS UNIVERSITY
Cassandra Marks,384-36-9709,Church Slavic,Air cabin crew,1.64,90.8,98.85,BREATHLESS WHEN DRESSING,64.15,ST.LUKE'S
Steven Massey,625-75-1474,Hindi,Education administrator,1.65,103.43,34.48,WHEN HURRYING,194.75,SAINT LOUIS UNIVERSITY
Anthony Summers,780-47-1293,Polish,Politician's assistant,1.67,82.94,77.34,STOPS AFTER 100 YARDS,153.06,BJC WEST COUNTY
Brian Sullivan,754-60-2589,German,Radio producer,1.75,111.36,92.92,WALKING UPHILL,63.88,MISSOURI BAPTIST
Shirley Garcia,751-83-0998,Macedonian,Drilling engineer,1.62,102.28,70.09,SLOWER THAN PEERS,146.48,ST.LUKE'S
Anthony Cruz,573-67-1890,Kuanyama,Special effects artist,1.51,92.14,77.91,UNABLE TO LEAVE HOME,149.99,BJC WEST COUNTY
Barbara Miller,322-09-3952,Sanskrit,Chief Marketing Officer,1.66,90.74,43.88,BREATHLESS WHEN DRESSING,292.88,ST.MARY'S
Margaret Bartlett,105-01-7573,Abkhazian,Commercial art gallery manager,1.63,102.39,82.71,ONLY STRENUOUS EXERCISE,200.99,BJC
Rebecca Hunter,311-79-7439,Herero,Health and safety inspector,1.69,111.27,97.56,BREATHLESS WHEN DRESSING,68.7,BJC
Andrew Cabrera,784-66-8342,Malayalam,Psychologist forensic,1.76,109.5,44.55,BREATHLESS WHEN DRESSING,81.71,BJC WEST COUNTY
Jeremy Mitchell,127-96-7796,Herero,Child psychotherapist,1.7,97.71,87.01,UNABLE TO LEAVE HOME,291.36,BJC
Erin Gonzalez,799-62-1050,Kirghiz,Engineer maintenance (IT),1.69,81.63,40.37,STOPS WHEN WALKING AT PACE,44.08,ST.LUKE'S
James Powell,247-15-1986,Corsican,Systems analyst,1.55,109.25,42.67,STOPS AFTER A FEW MINUTES,150.72,MISSOURI BAPTIST
William Bailey,342-90-5035,North Ndebele,Comptroller,1.58,106.83,32.71,ONLY STRENUOUS EXERCISE,265.88,ST.MARY'S
Megan White,598-34-3354,Yoruba,Further education lecturer,1.61,103.6,71.94,BREATHLESS WHEN DRESSING,134.19,ST.MARY'S
William Murphy,456-40-6816,Uighur,Copywriter advertising,1.5,84.98,83.14,WALKING UPHILL,299.63,BJC
Robert Rodriguez,723-04-4335,Armenian,Education administrator,1.72,88.36,93.28,BREATHLESS WHEN DRESSING,133.47,SAINT LOUIS UNIVERSITY
David Mcdonald,386-63-3023,Kongo,Clinical biochemist,1.57,108.72,25.34,WHEN HURRYING,376.96,ST.MARY'S
Jennifer Hart,077-57-6145,Interlingue,Radio broadcast assistant,1.7,100.77,59.82,SLOWER THAN PEERS,266.03,SAINT LOUIS UNIVERSITY
Anna Clark,713-70-6579,Hungarian,Brewing technologist,1.52,96.92,69.12,STOPS AFTER 100 YARDS,149.49,ST.MARY'S
Joseph Welch,241-59-6689,Lithuanian,Sound technician broadcasting/film/video,1.52,100.32,77.94,WHEN HURRYING,379.79,ST.MARY'S
Katrina Gilmore,862-65-1725,Kongo,Sport and exercise psychologist,1.73,102.46,63.14,WHEN HURRYING,31.15,BJC
Peter Jefferson,144-94-1904,Venda,Horticulturist amenity,1.67,110.5,88.87,ONLY STRENUOUS EXERCISE,176.94,BJC
Jesse Crawford,868-70-8675,Bambara,Glass blower/designer,1.58,114.54,89.3,WALKING UPHILL,371.43,BJC WEST COUNTY
Tracy Vaughan,076-09-6297,Interlingue,Quality manager,1.6,106.19,43.47,ONLY STRENUOUS EXERCISE,116.01,MISSOURI BAPTIST
James Ryan,068-71-7970,Western Frisian,Bonds trader,1.67,100.56,36.54,STOPS WHEN WALKING AT PACE,258.73,BJC
Jordan Richards,131-82-2608,Zhuang,Patent examiner,1.59,117.87,69.39,WHEN HURRYING,323.64,SAINT LOUIS UNIVERSITY
Jennifer Walton,274-36-9392,Divehi,Ergonomist,1.77,113.97,31.19,BREATHLESS WHEN DRESSING,158.97,SAINT LOUIS UNIVERSITY
Kathleen Pineda,446-81-6827,Afar,Engineer communications,1.56,92.17,43.59,STOPS AFTER 100 YARDS,144.69,SAINT LOUIS UNIVERSITY
William Gray,411-48-8639,Arabic,Adult nurse,1.73,102.93,82.88,ONLY STRENUOUS EXERCISE,273.58,MISSOURI BAPTIST
Andrea Mccarthy,651-13-9843,Herero,Charity officer,1.72,105.59,50.19,SLOWER THAN PEERS,290.18,BJC WEST COUNTY
Todd Murphy,569-65-2861,Japanese,Horticulturist amenity,1.51,92.16,50.02,WHEN HURRYING,191.88,MISSOURI BAPTIST
William Owens,616-74-6515,Gujarati,Warden/ranger,1.63,87.87,44.57,STOPS AFTER 100 YARDS,199.03,ST.LUKE'S
Valerie Hansen,427-21-8908,Ukrainian,Data scientist,1.76,103.57,44.28,WALKING UPHILL,260.41,ST.MARY'S
Travis Flores,409-07-8936,Sardinian,Charity officer,1.53,106.19,27.3,STOPS AFTER A FEW MINUTES,24.88,ST.MARY'S
James Hernandez,403-13-0382,Aragonese,Administrator education,1.63,109.33,52.98,ONLY STRENUOUS EXERCISE,267.92,MISSOURI BAPTIST
Christopher Bowers,824-68-7127,Chinese,Chief Executive Officer,1.67,89.25,28.44,STOPS AFTER 100 YARDS,132.57,BJC WEST COUNTY
Vanessa Miller,609-92-5847,Hausa,Therapist art,1.63,84.15,71.02,STOPS WHEN WALKING AT PACE,327.33,MISSOURI BAPTIST
Joel Dunlap,462-69-9127,Rundi,Haematologist,1.55,83.8,32.79,STOPS AFTER 100 YARDS,37.17,ST.LUKE'S
Rachel Ortiz,377-84-1565,Malayalam,Pension scheme manager,1.52,86.18,66.74,SLOWER THAN PEERS,244.16,MISSOURI BAPTIST
Erin Lyons,655-29-8520,Akan,Brewing technologist,1.72,114.25,44.98,ONLY STRENUOUS EXERCISE,371.41,BJC WEST COUNTY
Rachel Chen,438-67-0100,Czech,Intelligence analyst,1.51,110.29,58.85,STOPS AFTER A FEW MINUTES,377.27,SAINT LOUIS UNIVERSITY
Mary Wood,609-71-1660,Sundanese,Health and safety inspector,1.51,81.71,85.09,STOPS AFTER 100 YARDS,228.49,ST.LUKE'S
Glenn Mcintosh,728-13-8263,Hungarian,Administrator sports,1.72,92.11,70.0,SLOWER THAN PEERS,256.56,ST.MARY'S
Amber Patterson,186-99-9550,Thai,Marketing executive,1.7,91.34,95.6,UNABLE TO LEAVE HOME,56.68,ST.MARY'S
George Smith,744-58-2011,Kirghiz,Seismic interpreter,1.63,105.01,81.98,STOPS WHEN WALKING AT PACE,143.49,MISSOURI BAPTIST
Kayla Hammond,677-63-6458,Spanish,Engineering geologist,1.65,101.25,96.72,STOPS AFTER A FEW MINUTES,258.1,MISSOURI BAPTIST
Aaron Shelton,833-83-4975,Bulgarian,Building surveyor,1.77,117.14,72.82,WALKING UPHILL,369.65,MISSOURI BAPTIST
Tara James,548-31-4509,Fulah,Estate manager/land agent,1.75,90.73,91.52,STOPS AFTER 100 YARDS,331.81,BJC
Anne Ferguson,009-54-3609,Portuguese,Special educational needs teacher,1.62,114.49,37.26,WALKING UPHILL,355.35,ST.LUKE'S
Joshua Ferguson,571-24-7404,Danish,Electronics engineer,1.68,78.76,47.38,SLOWER THAN PEERS,38.94,ST.MARY'S
Pamela Martin,797-78-6506,Ewe,Civil engineer consulting,1.55,114.91,45.71,ONLY STRENUOUS EXERCISE,184.77,BJC
Kristen Williams,898-51-6150,Bashkir,Lecturer further education,1.69,82.99,59.78,ONLY STRENUOUS EXERCISE,106.26,BJC
Paul Donovan,587-39-0309,Shona,Radio broadcast assistant,1.66,107.21,36.34,WHEN HURRYING,73.8,BJC
Jill Krause,041-77-0631,Interlingua,Administrator arts,1.65,82.65,70.36,WALKING UPHILL,290.76,BJC WEST COUNTY
Thomas Smith,208-84-3022,Oriya,Film/video editor,1.74,112.04,90.53,UNABLE TO LEAVE HOME,34.89,BJC WEST COUNTY
Shannon Fowler DDS,846-11-8242,Assamese,Horticulturist commercial,1.53,109.74,95.05,STOPS AFTER A FEW MINUTES,266.8,MISSOURI BAPTIST
Daniel Burns,236-11-1293,Estonian,Midwife,1.62,106.13,98.28,STOPS WHEN WALKING AT PACE,16.32,ST.MARY'S
Jonathan Silva,478-76-0658,Hausa,Marketing executive,1.61,87.34,79.68,UNABLE TO LEAVE HOME,24.96,SAINT LOUIS UNIVERSITY
Sheri Tanner,850-24-8534,Somali,Administrator charities/voluntary organisations,1.59,92.74,49.34,UNABLE TO LEAVE HOME,133.06,BJC WEST COUNTY
Fred Clark,621-77-2866,Vietnamese,Visual merchandiser,1.67,96.96,39.39,WHEN HURRYING,323.26,BJC WEST COUNTY
Mrs. Tracy Mercer,751-08-0302,Lao,Technical author,1.72,92.35,50.98,UNABLE TO LEAVE HOME,64.27,BJC
Ryan Reynolds,298-18-8642,Corsican,Land/geomatics surveyor,1.56,85.35,29.72,ONLY STRENUOUS EXERCISE,232.8,ST.LUKE'S
Kelsey Roberson,476-75-7790,Navajo,Psychologist occupational,1.55,88.13,63.16,SLOWER THAN PEERS,275.48,BJC WEST COUNTY
Jack Bonilla,449-52-7295,Ndonga,Public relations officer,1.7,89.56,39.77,UNABLE TO LEAVE HOME,280.86,ST.MARY'S
Melissa Herrera,019-12-5675,Hungarian,Plant breeder/geneticist,1.54,112.92,78.75,STOPS AFTER A FEW MINUTES,232.3,BJC WEST COUNTY
Lisa Robinson,500-12-6669,Burmese,Designer interior/spatial,1.72,89.01,87.51,BREATHLESS WHEN DRESSING,269.75,BJC
Megan Marshall,589-29-2362,Belarusian,Podiatrist,1.68,83.75,83.2,STOPS AFTER A FEW MINUTES,141.96,ST.MARY'S
Ricky Williams,731-35-5707,Pali,Fashion designer,1.52,109.23,89.16,STOPS AFTER A FEW MINUTES,328.94,BJC
Brandon Wagner,293-02-1021,Divehi,Musician,1.53,115.18,89.2,ONLY STRENUOUS EXERCISE,234.43,ST.LUKE'S
Gary Cox,894-46-7210,Latvian,Investment banker corporate,1.67,78.53,99.88,STOPS WHEN WALKING AT PACE,196.22,MISSOURI BAPTIST
Edward Joyce,403-80-8539,Avaric,Teacher early years/pre,1.63,82.15,56.39,BREATHLESS WHEN DRESSING,93.72,ST.LUKE'S
Angela Cruz,096-41-6934,Hausa,Equality and diversity officer,1.58,116.57,54.73,WHEN HURRYING,264.87,BJC
Billy Smith,707-29-2237,Bosnian,Engineer electrical,1.65,82.5,31.72,WHEN HURRYING,389.86,BJC WEST COUNTY
Steven Baker,249-01-2216,Assamese,Human resources officer,1.77,96.14,49.84,STOPS AFTER A FEW MINUTES,183.02,ST.LUKE'S
Daniel Black,739-16-2343,Bulgarian,Broadcast journalist,1.63,87.62,25.81,STOPS AFTER A FEW MINUTES,304.74,SAINT LOUIS UNIVERSITY
Tyler Hill,633-99-3760,Western Frisian,Multimedia programmer,1.71,86.55,77.97,ONLY STRENUOUS EXERCISE,285.05,ST.LUKE'S
Stephanie Johnson,240-59-3247,Xhosa,Prison officer,1.61,91.9,77.57,STOPS AFTER 100 YARDS,75.09,BJC WEST COUNTY
Crystal Bryant,790-44-0702,Ukrainian,Podiatrist,1.76,101.81,79.84,WALKING UPHILL,196.02,SAINT LOUIS UNIVERSITY
Julie Ingram,603-24-2558,Tibetan,Best boy,1.57,78.41,49.16,WALKING UPHILL,271.11,BJC
Danielle Mckenzie,775-06-0923,Kanuri,Radiographer diagnostic,1.64,91.13,35.41,BREATHLESS WHEN DRESSING,143.85,BJC WEST COUNTY
Craig Poole,838-32-4982,Luba-Katanga,Sound technician broadcasting/film/video,1.64,95.99,74.92,ONLY STRENUOUS EXERCISE,380.02,BJC
Melissa Lee,054-95-5814,Marathi,Tax inspector,1.62,108.45,84.01,BREATHLESS WHEN DRESSING,265.24,SAINT LOUIS UNIVERSITY
Rebecca Fox,489-28-8201,Uighur,Fashion designer,1.71,81.84,25.6,STOPS WHEN WALKING AT PACE,302.11,MISSOURI BAPTIST
Justin Le,057-57-8124,Lithuanian,Administrator charities/voluntary organisations,1.8,85.74,38.75,STOPS WHEN WALKING AT PACE,382.2,SAINT LOUIS UNIVERSITY
Chad Gregory,226-04-4252,Azerbaijani,Astronomer,1.75,99.04,84.14,SLOWER THAN PEERS,204.57,BJC WEST COUNTY
Marissa Park,235-39-8460,Croatian,Sports administrator,1.67,115.66,98.82,WALKING UPHILL,175.18,SAINT LOUIS UNIVERSITY
Sandra Smith,233-46-6440,Tagalog,Health promotion specialist,1.73,90.94,59.93,WHEN HURRYING,328.64,BJC
Jason Tran,692-75-3342,Basque,Transport planner,1.51,98.28,29.1,UNABLE TO LEAVE HOME,93.65,BJC WEST COUNTY
Andrea Young,622-16-9822,Uzbek,Occupational hygienist,1.6,81.44,35.0,SLOWER THAN PEERS,379.82,ST.LUKE'S
Shelley Wilson,629-26-9269,Lithuanian,Intelligence analyst,1.55,90.68,96.61,WHEN HURRYING,114.01,MISSOURI BAPTIST
Robert Sharp,727-78-6205,Zulu,Teaching laboratory technician,1.53,114.29,71.62,UNABLE TO LEAVE HOME,102.62,BJC WEST COUNTY
Stephanie Scott,245-99-8157,Hiri Motu,Air traffic controller,1.68,94.88,92.65,WALKING UPHILL,53.26,ST.LUKE'S
Amanda Griffith,845-53-4786,Galician,Early years teacher,1.53,111.23,33.05,BREATHLESS WHEN DRESSING,314.03,MISSOURI BAPTIST
Rodney Smith,828-24-2764,Slovak,Health promotion specialist,1.63,81.12,63.56,STOPS AFTER A FEW MINUTES,236.52,BJC WEST COUNTY
Kaitlin Young,310-47-8902,Hausa,Retail merchandiser,1.72,102.32,47.53,ONLY STRENUOUS EXERCISE,109.79,BJC WEST COUNTY
Darlene Reyes,282-39-6290,Bislama,Exercise physiologist,1.58,109.5,78.4,WHEN HURRYING,163.92,BJC
Russell Murray,281-91-5100,Irish,Pensions consultant,1.66,99.85,80.46,WHEN HURRYING,106.97,ST.LUKE'S
Bradley Parker,385-07-5218,Tigrinya,Glass blower/designer,1.75,91.97,57.83,STOPS WHEN WALKING AT PACE,140.33,ST.LUKE'S
Matthew Fischer,154-81-7527,Ndonga,Translator,1.6,103.65,87.93,ONLY STRENUOUS EXERCISE,114.3,ST.LUKE'S
Vincent Berger,604-09-1502,Bambara,Writer,1.77,102.1,38.14,WHEN HURRYING,372.15,ST.LUKE'S
Andrew Baker,336-39-7096,Occitan,Government social research officer,1.72,92.35,62.54,STOPS WHEN WALKING AT PACE,340.6,BJC
Angela Parsons,616-03-3215,Cornish,Structural engineer,1.6,86.92,43.4,ONLY STRENUOUS EXERCISE,393.69,BJC WEST COUNTY
Victoria Baker,576-96-6857,Amharic,Science writer,1.77,117.39,51.83,WHEN HURRYING,113.99,ST.LUKE'S
Renee Hopkins,100-66-3176,Corsican,Equality and diversity officer,1.62,106.56,68.07,STOPS AFTER A FEW MINUTES,165.44,BJC WEST COUNTY
Leslie Hunter,372-51-1565,Telugu,Forest/woodland manager,1.77,106.75,93.39,WALKING UPHILL,25.65,MISSOURI BAPTIST
Susan Graham,161-33-7162,Yoruba,Psychologist clinical,1.63,103.72,82.58,STOPS AFTER 100 YARDS,51.17,BJC WEST COUNTY
Timothy White,479-60-3023,Afrikaans,Designer industrial/product,1.51,85.45,25.51,STOPS AFTER 100 YARDS,265.5,SAINT LOUIS UNIVERSITY
Shannon Hamilton,288-66-1175,Tahitian,Minerals surveyor,1.58,99.9,26.13,WHEN HURRYING,307.07,BJC WEST COUNTY
Brian Olson,111-95-7887,Chinese,Engineer manufacturing,1.61,111.47,53.93,SLOWER THAN PEERS,378.12,ST.MARY'S
Rodney Sherman,103-23-6126,Irish,Product/process development scientist,1.71,78.78,73.88,WALKING UPHILL,289.62,ST.MARY'S
Daniel Harris,624-45-7392,Kanuri,Education officer environmental,1.77,103.72,48.04,SLOWER THAN PEERS,254.6,BJC WEST COUNTY
April Marks,525-66-6845,Tagalog,Therapist drama,1.6,102.35,48.54,STOPS AFTER A FEW MINUTES,388.62,ST.MARY'S
Michael Rose,699-85-9939,Uzbek,Advertising art director,1.68,100.95,47.88,STOPS WHEN WALKING AT PACE,205.76,BJC
Alexander Cervantes,312-89-9934,Western Frisian,Materials engineer,1.63,105.43,97.82,WHEN HURRYING,159.58,SAINT LOUIS UNIVERSITY
Lauren Aguilar,706-57-1197,Romansh,Designer textile,1.72,109.07,61.04,SLOWER THAN PEERS,20.23,MISSOURI BAPTIST
Adam Bass,330-43-5037,Swahili,Intelligence analyst,1.75,113.74,42.47,STOPS AFTER A FEW MINUTES,360.42,BJC
Rhonda Williams,788-40-8103,Gaelic,Financial adviser,1.63,113.68,37.99,WALKING UPHILL,61.21,BJC WEST COUNTY
Melissa White,286-10-3016,Chinese,Computer games developer,1.76,92.81,87.79,SLOWER THAN PEERS,375.67,ST.LUKE'S
David Li,365-06-2211,Slovenian,Estate manager/land agent,1.8,88.06,97.49,STOPS AFTER 100 YARDS,349.02,BJC
Emily Mcclure,660-67-2397,Swahili,Accountant chartered public finance,1.54,105.37,52.86,UNABLE TO LEAVE HOME,72.22,ST.LUKE'S
Donald Rogers,081-03-6133,Kuanyama,Radiographer diagnostic,1.67,103.03,42.59,BREATHLESS WHEN DRESSING,261.49,ST.LUKE'S
Shane Haley,210-35-6840,Uighur,Surveyor building control,1.75,84.43,26.96,UNABLE TO LEAVE HOME,149.65,SAINT LOUIS UNIVERSITY
John Perez,719-53-3085,Malagasy,Comptroller,1.66,91.9,97.65,BREATHLESS WHEN DRESSING,395.54,ST.LUKE'S
Raymond Frye,618-83-3164,Uighur,IT sales professional,1.6,99.25,82.06,SLOWER THAN PEERS,91.34,ST.LUKE'S
Richard James,532-22-5110,Tatar,Surveyor minerals,1.59,107.31,65.64,UNABLE TO LEAVE HOME,246.26,BJC
Gerald Walters,126-24-3930,Hausa,Designer textile,1.74,108.86,60.17,STOPS WHEN WALKING AT PACE,76.33,ST.LUKE'S
Jesus Shepherd,843-35-0471,Mongolian,Building control surveyor,1.62,111.24,37.44,BREATHLESS WHEN DRESSING,142.39,ST.MARY'S
Cindy Garrett,557-21-0634,Breton,Industrial/product designer,1.59,103.52,34.23,BREATHLESS WHEN DRESSING,87.34,BJC
Richard Johnston,583-59-8878,Walloon,Physiological scientist,1.5,112.2,48.4,WALKING UPHILL,262.91,ST.LUKE'S
Jennifer Reyes,845-92-8909,Abkhazian,Embryologist clinical,1.51,92.88,31.0,ONLY STRENUOUS EXERCISE,83.34,MISSOURI BAPTIST
Dawn Coleman,485-05-9985,Maltese,Tax inspector,1.79,115.41,86.81,WHEN HURRYING,359.06,SAINT LOUIS UNIVERSITY
Amy Schmidt,691-75-1058,Bashkir,Barrister,1.53,116.66,74.49,WALKING UPHILL,199.74,MISSOURI BAPTIST
Jonathan Mcdaniel,819-65-1831,Oromo,Nature conservation officer,1.61,99.3,34.59,UNABLE TO LEAVE HOME,71.13,ST.MARY'S
Diane Howard,539-76-7025,Dzongkha,Legal executive,1.61,97.08,50.92,ONLY STRENUOUS EXERCISE,234.45,BJC
Lisa Wilkerson,473-87-6499,Bambara,Housing manager/officer,1.53,78.8,42.86,WALKING UPHILL,48.07,SAINT LOUIS UNIVERSITY
Jason King,669-05-4102,Bashkir,Chemist analytical,1.69,104.64,27.51,STOPS AFTER A FEW MINUTES,133.14,ST.MARY'S
Alyssa Mata,260-63-0514,Aragonese,Lecturer further education,1.68,92.26,63.03,STOPS AFTER A FEW MINUTES,295.8,ST.LUKE'S
Helen Silva,171-65-9852,Tatar,Accountant chartered,1.62,95.95,77.87,STOPS AFTER 100 YARDS,35.86,BJC
William Simon,057-55-9356,Western Frisian,Chemical engineer,1.6,90.87,26.38,ONLY STRENUOUS EXERCISE,297.25,BJC
Melissa Campbell,519-10-4892,Romansh,Surgeon,1.5,103.07,75.64,SLOWER THAN PEERS,243.73,BJC WEST COUNTY
Kevin Burnett,569-75-4353,Norwegian,Therapeutic radiographer,1.65,111.14,53.17,WALKING UPHILL,13.44,ST.LUKE'S
Derek Mosley,190-55-1739,Luba-Katanga,Chartered legal executive (England and Wales),1.75,114.52,92.16,WHEN HURRYING,220.53,ST.MARY'S
Mary Nicholson,172-53-0448,Chichewa,Seismic interpreter,1.54,100.21,87.2,BREATHLESS WHEN DRESSING,69.65,MISSOURI BAPTIST
Caitlyn Bennett,831-57-0797,Mongolian,Operations geologist,1.75,105.73,70.35,BREATHLESS WHEN DRESSING,94.3,BJC
Karen Byrd,535-81-9973,Kanuri,Public relations officer,1.69,97.4,58.56,WALKING UPHILL,204.27,MISSOURI BAPTIST
Latasha Hawkins,316-29-1938,Ndonga,Microbiologist,1.76,92.16,77.44,WALKING UPHILL,108.0,MISSOURI BAPTIST
Melissa Rodriguez,734-49-4430,Northern Sami,Hydrographic surveyor,1.75,81.74,92.59,SLOWER THAN PEERS,236.99,BJC
Brian Holt,535-62-5957,Tagalog,Farm manager,1.57,86.62,48.83,SLOWER THAN PEERS,161.96,SAINT LOUIS UNIVERSITY
Ian Shaw,224-10-3960,Dutch,Data scientist,1.53,88.38,48.66,STOPS WHEN WALKING AT PACE,129.76,BJC
Thomas Chavez,476-26-1413,Sichuan Yi,Journalist newspaper,1.6,92.92,99.63,WALKING UPHILL,394.11,ST.LUKE'S
Jon Mcintyre,252-64-2913,Slovenian,Civil engineer contracting,1.76,106.52,39.87,ONLY STRENUOUS EXERCISE,300.33,SAINT LOUIS UNIVERSITY
Emily Haynes,886-09-0521,Malayalam,Buyer retail,1.67,105.8,58.08,STOPS AFTER A FEW MINUTES,177.76,BJC WEST COUNTY
Hannah Mcknight,891-02-5507,Sardinian,English as a second language teacher,1.76,117.45,87.94,STOPS AFTER 100 YARDS,328.99,BJC
David Massey,241-26-4731,Occitan,Make,1.52,80.47,91.34,ONLY STRENUOUS EXERCISE,226.37,SAINT LOUIS UNIVERSITY
Jill Colon,164-19-8582,Interlingua,Administrator sports,1.55,107.67,72.62,UNABLE TO LEAVE HOME,332.92,MISSOURI BAPTIST
Sandra Wright,894-13-3896,Bosnian,Chief Marketing Officer,1.64,104.37,72.42,UNABLE TO LEAVE HOME,180.89,SAINT LOUIS UNIVERSITY
Veronica Wagner,290-46-4283,Aragonese,Building surveyor,1.79,101.36,53.08,BREATHLESS WHEN DRESSING,363.06,MISSOURI BAPTIST
Tonya Harris,398-53-4877,Irish,Engineer control and instrumentation,1.76,110.93,55.91,BREATHLESS WHEN DRESSING,317.96,MISSOURI BAPTIST
Walter Lewis,101-25-2006,Telugu,Psychiatrist,1.61,99.62,29.81,SLOWER THAN PEERS,17.54,ST.MARY'S
Kari Park,896-83-5294,South Ndebele,Jewellery designer,1.74,116.32,49.66,STOPS AFTER 100 YARDS,17.6,BJC WEST COUNTY
Chad Pineda,670-83-4820,Malagasy,Surveyor minerals,1.68,99.59,99.54,SLOWER THAN PEERS,57.5,ST.MARY'S
David Stone,852-08-8133,Amharic,Video editor,1.71,96.49,86.08,STOPS AFTER A FEW MINUTES,337.15,BJC
Charles Choi,879-27-5884,Maori,Professor Emeritus,1.6,101.82,90.64,STOPS WHEN WALKING AT PACE,33.49,BJC WEST COUNTY
Randall Butler,132-11-5121,Venda,Prison officer,1.65,91.9,88.97,BREATHLESS WHEN DRESSING,352.44,BJC
Douglas Turner,450-35-5832,Hungarian,Primary school teacher,1.64,88.89,60.37,STOPS AFTER A FEW MINUTES,348.98,BJC WEST COUNTY
